"Sender","Msg","Date","Time"
"geeksareforlife","Ok, maybe not. This one should definitely be logged!","09/05/2011","18:29:28"
"chickengrylls","Open Hack Night is JUST getting started Join Us!","11/05/2011","17:42:52"
"geeksareforlife","Nottingham Hackspace is now open! Come on down and see what we have to offer. #nhopenday","29/05/2011","06:53:56"
"dpslwk","#nhopenday it's 8o'clock and the party is still going strong, even if were are running out of beer","29/05/2011","15:20:03"
"dpslwk","The Hackspace is open for our regular Open Hack Night","01/06/2011","12:50:07"
"nachimir","We now have somewhere to obviously plug in your laptop: http://twitpic.com/55y20a (Made from zip ties, bottles and wood by @nachimir)","02/06/2011","12:30:03"
"dpslwk","Did you know we have a irc channel? #nottinghack on freenode","07/06/2011","18:40:04"
"dpslwk","It's 'hack the space' day. Got a little free time? Come down and help us improve Nottingham Hackspace","12/06/2011","03:30:03"
"nachimir","*loads* done at ©hsnotts today. Had a sheet of a4 filled with big jobs this morning; people have now done them all.","12/06/2011","12:50:03"
"dpslwk","Open hack night has started early with the guys all ready running more cat5.","15/06/2011","12:10:04"
"nachimir","(via @bengoldacre) @GypsumFantastic has made the perfect Glastonbury phone charger out of bits that were lying around http://t.co/QdMjtRT","20/06/2011","11:30:05"
"dpslwk","It's Wednesday which means it's Open Hack Night from 6.30pm http://t.co/71yYlUY","22/06/2011","03:10:03"
"dpslwk","http://t.co/m9C05y1 Friends wall work in progress","23/06/2011","13:00:05"
"nachimir","Hackspace: Open!","29/06/2011","09:40:05"
"dpslwk","New door bell installed and ready to go http://t.co/bxMWKmA","03/07/2011","14:32:59"
"dpslwk","http://t.co/bxMWKmA New door bell installed and ready to go","03/07/2011","14:33:03"
"dpslwk","Don't Forget the Old School LAN Gaming Night this Friday(15th)
Sign up here: http://t.co/wvsP75n
Details for Games: http://t.co/YM4hJaa","10/07/2011","16:30:03"
"dpslwk","Its open hack night at the space today, http://t.co/71yYlUY
And we are getting a vending machine to hack today.","13/07/2011","04:40:04"
